variable,description,decade,pos_label,neg_label,pos_pct,n_valid,year_min,year_max,n_years,trend,was_flipped,question,stat_label,category,confidence,review_note,audit_action,audit_problem,audit_problem_detail,audit_reframe,audit_flip_error,audit_flip_note,review_status
wrkslf,r self-emp or works for somebody,2020s,self-employed,someone else,0.1186,10516,1972,2024,35,-0.0193,True,What % of Americans surveyed are currently self-employed rather than working for someone else?,Currently self-employed,Work,1,,keep_as_is,,,,False,,pending
wrkgovt,govt or private employee,1980s,government,private,0.1708,2822,1985,2018,12,,True,What % of Americans surveyed work for the government rather than private employers?,Work for government employer,Work,1,,keep_as_is,,,,False,,pending
wrkgovt,govt or private employee,2000s,government,private,0.1752,14165,1985,2018,12,,True,What % of Americans surveyed work for the government rather than private employers?,Work for government employer,Work,1,,keep_as_is,,,,False,,pending
wrkgovt,govt or private employee,2010s,government,private,0.1936,11092,1985,2018,12,,True,What % of Americans surveyed work for the government rather than private employers?,Work for government employer,Work,1,,keep_as_is,,,,False,,pending
divorce,ever been divorced or separated,1970s,yes,no,0.1444,8145,1972,2024,35,-0.1112,True,What % of Americans surveyed have ever been divorced or separated?,Ever been divorced or separated,Family,1,,keep_as_is,,,,False,,pending
divorce,ever been divorced or separated,1980s,yes,no,0.1769,9428,1972,2024,35,-0.1112,True,What % of Americans surveyed have ever been divorced or separated?,Ever been divorced or separated,Family,1,,keep_as_is,,,,False,,pending
divorce,ever been divorced or separated,1990s,yes,no,0.2227,7973,1972,2024,35,-0.1112,True,What % of Americans surveyed have ever been divorced or separated?,Ever been divorced or separated,Family,1,,keep_as_is,,,,False,,pending
divorce,ever been divorced or separated,2000s,yes,no,0.2455,8396,1972,2024,35,-0.1112,True,What % of Americans surveyed have ever been divorced or separated?,Ever been divorced or separated,Family,1,,keep_as_is,,,,False,,pending
divorce,ever been divorced or separated,2010s,yes,no,0.2381,6150,1972,2024,35,-0.1112,True,What % of Americans surveyed have ever been divorced or separated?,Ever been divorced or separated,Family,1,,keep_as_is,,,,False,,pending
divorce,ever been divorced or separated,2020s,yes,no,0.2556,5616,1972,2024,35,-0.1112,True,What % of Americans surveyed have ever been divorced or separated?,Ever been divorced or separated,Family,1,,keep_as_is,,,,False,,pending
spevwork,spouse ever work as long as a year,1970s,yes,no,0.748,2671,1972,2024,35,0.136,False,What % of Americans surveyed with a non-employed spouse said their spouse ever worked for a year or longer?,Spouse ever worked a year or more,Family,2,Universe unclear: all respondents or only married/partnered? Data may span decades with changing norms.,reframe,conditional,"Only asked to married/partnered respondents, but question text doesn't clarify this.",What % of married Americans surveyed said their spouse ever worked a year or longer?,False,,edited
spevwork,spouse ever work as long as a year,1980s,yes,no,0.8142,2597,1972,2024,35,0.136,False,What % of Americans surveyed with a non-employed spouse said their spouse ever worked for a year or longer?,Spouse ever worked a year or more,Family,2,Universe unclear: all respondents or only married/partnered? Data may span decades with changing norms.,reframe,conditional,"Only asked to married/partnered respondents, but question text doesn't clarify this.",What % of married Americans surveyed said their spouse ever worked a year or longer?,False,,edited
spevwork,spouse ever work as long as a year,1990s,yes,no,0.8548,1936,1972,2024,35,0.136,False,What % of Americans surveyed with a non-employed spouse said their spouse ever worked for a year or longer?,Spouse ever worked a year or more,Family,2,Universe unclear: all respondents or only married/partnered? Data may span decades with changing norms.,reframe,conditional,"Only asked to married/partnered respondents, but question text doesn't clarify this.",What % of married Americans surveyed said their spouse ever worked a year or longer?,False,,edited
spevwork,spouse ever work as long as a year,2000s,yes,no,0.8321,2114,1972,2024,35,0.136,False,What % of Americans surveyed with a non-employed spouse said their spouse ever worked for a year or longer?,Spouse ever worked a year or more,Family,2,Universe unclear: all respondents or only married/partnered? Data may span decades with changing norms.,reframe,conditional,"Only asked to married/partnered respondents, but question text doesn't clarify this.",What % of married Americans surveyed said their spouse ever worked a year or longer?,False,,edited
spevwork,spouse ever work as long as a year,2010s,yes,no,0.8736,1699,1972,2024,35,0.136,False,What % of Americans surveyed with a non-employed spouse said their spouse ever worked for a year or longer?,Spouse ever worked a year or more,Family,2,Universe unclear: all respondents or only married/partnered? Data may span decades with changing norms.,reframe,conditional,"Only asked to married/partnered respondents, but question text doesn't clarify this.",What % of married Americans surveyed said their spouse ever worked a year or longer?,False,,edited
spevwork,spouse ever work as long as a year,2020s,yes,no,0.884,1817,1972,2024,35,0.136,False,What % of Americans surveyed with a non-employed spouse said their spouse ever worked for a year or longer?,Spouse ever worked a year or more,Family,2,Universe unclear: all respondents or only married/partnered? Data may span decades with changing norms.,reframe,conditional,"Only asked to married/partnered respondents, but question text doesn't clarify this.",What % of married Americans surveyed said their spouse ever worked a year or longer?,False,,edited
cowrkslf,partner self-emp. or works for somebody else,2010s,self-employed,someone else,0.1006,807,2012,2024,7,,True,What % of employed Americans surveyed are currently self-employed rather than working for someone else?,Currently self-employed,Work,1,,reframe,conditional,"Variable measures partner's employment status, not respondent's self-employment.",What % of Americans surveyed have a partner who is self-employed rather than working for someone else?,False,,edited
cowrkslf,partner self-emp. or works for somebody else,2020s,self-employed,someone else,0.1031,876,2012,2024,7,,True,What % of employed Americans surveyed are currently self-employed rather than working for someone else?,Currently self-employed,Work,1,,reframe,conditional,"Variable measures partner's employment status, not respondent's self-employment.",What % of Americans surveyed have a partner who is self-employed rather than working for someone else?,False,,edited
pawrkslf,father (or oldest same-sex parent) self-emp. or worked for somebody,1970s,self-employed,someone else,0.3362,9250,1972,2024,35,0.1094,True,What % of Americans surveyed had a father who was self-employed?,Father was self-employed,Work,1,,reframe,conditional,Only asked to Americans with fathers; excludes those without fathers.,What % of Americans surveyed with a father said he was self-employed?,False,,edited
pawrkslf,father (or oldest same-sex parent) self-emp. or worked for somebody,1980s,self-employed,someone else,0.3008,12001,1972,2024,35,0.1094,True,What % of Americans surveyed had a father who was self-employed?,Father was self-employed,Work,1,,reframe,conditional,Only asked to Americans with fathers; excludes those without fathers.,What % of Americans surveyed with a father said he was self-employed?,False,,edited
pawrkslf,father (or oldest same-sex parent) self-emp. or worked for somebody,1990s,self-employed,someone else,0.2761,10806,1972,2024,35,0.1094,True,What % of Americans surveyed had a father who was self-employed?,Father was self-employed,Work,1,,reframe,conditional,Only asked to Americans with fathers; excludes those without fathers.,What % of Americans surveyed with a father said he was self-employed?,False,,edited
pawrkslf,father (or oldest same-sex parent) self-emp. or worked for somebody,2000s,self-employed,someone else,0.2581,10793,1972,2024,35,0.1094,True,What % of Americans surveyed had a father who was self-employed?,Father was self-employed,Work,1,,reframe,conditional,Only asked to Americans with fathers; excludes those without fathers.,What % of Americans surveyed with a father said he was self-employed?,False,,edited
pawrkslf,father (or oldest same-sex parent) self-emp. or worked for somebody,2010s,self-employed,someone else,0.2471,9475,1972,2024,35,0.1094,True,What % of Americans surveyed had a father who was self-employed?,Father was self-employed,Work,1,,reframe,conditional,Only asked to Americans with fathers; excludes those without fathers.,What % of Americans surveyed with a father said he was self-employed?,False,,edited
pawrkslf,father (or oldest same-sex parent) self-emp. or worked for somebody,2020s,self-employed,someone else,0.2268,8622,1972,2024,35,0.1094,True,What % of Americans surveyed had a father who was self-employed?,Father was self-employed,Work,1,,reframe,conditional,Only asked to Americans with fathers; excludes those without fathers.,What % of Americans surveyed with a father said he was self-employed?,False,,edited
gradtounder,ratio of graduate students to undergraduate students in college respondent atten,2010s,.211 or over,0-.210 graduate student per undergraduate student,0.656,1864,2012,2016,3,,False,"What % of college educated Americans surveyed attended colleges with .211 or more graduate students per undergraduate (considered ""high"")?",Attended college with high graduate enrollment ratio,Work,2,Unclear if question asks about current attendance or ever attended. Variable description is vague.,reframe,underspecified,Unclear if question asks about current or ever attended college.,What % of Americans surveyed attended a college with at least 0.211 graduate students per undergraduate?,False,,edited
sex,respondents sex,1970s,female,male,0.5254,10652,1972,2024,35,-0.0142,False,What % of Americans surveyed were female?,Female respondents,Social Trust,1,,keep_as_is,,,,False,,pending
sex,respondents sex,1980s,female,male,0.554,14241,1972,2024,35,-0.0142,False,What % of Americans surveyed were female?,Female respondents,Social Trust,1,,keep_as_is,,,,False,,pending
sex,respondents sex,1990s,female,male,0.5462,13223,1972,2024,35,-0.0142,False,What % of Americans surveyed were female?,Female respondents,Social Trust,1,,keep_as_is,,,,False,,pending
sex,respondents sex,2000s,female,male,0.5413,14927,1972,2024,35,-0.0142,False,What % of Americans surveyed were female?,Female respondents,Social Trust,1,,keep_as_is,,,,False,,pending
sex,respondents sex,2010s,female,male,0.5452,11771,1972,2024,35,-0.0142,False,What % of Americans surveyed were female?,Female respondents,Social Trust,1,,keep_as_is,,,,False,,pending
sex,respondents sex,2020s,female,male,0.5112,10754,1972,2024,35,-0.0142,False,What % of Americans surveyed were female?,Female respondents,Social Trust,1,,keep_as_is,,,,False,,pending
race,race of respondent,1970s,white,black,0.8829,10584,1972,2024,35,-0.0358,False,What % of Americans surveyed identified as white?,Identified as white,Race & Equality,1,,keep_as_is,,,,False,,pending
race,race of respondent,1980s,white,black,0.8434,13878,1972,2024,35,-0.0358,False,What % of Americans surveyed identified as white?,Identified as white,Race & Equality,1,,keep_as_is,,,,False,,pending
race,race of respondent,1990s,white,black,0.8666,12566,1972,2024,35,-0.0358,False,What % of Americans surveyed identified as white?,Identified as white,Race & Equality,1,,keep_as_is,,,,False,,pending
race,race of respondent,2000s,white,black,0.855,13609,1972,2024,35,-0.0358,False,What % of Americans surveyed identified as white?,Identified as white,Race & Equality,1,,keep_as_is,,,,False,,pending
race,race of respondent,2010s,white,black,0.8317,10583,1972,2024,35,-0.0358,False,What % of Americans surveyed identified as white?,Identified as white,Race & Equality,1,,keep_as_is,,,,False,,pending
race,race of respondent,2020s,white,black,0.8471,9504,1972,2024,35,-0.0358,False,What % of Americans surveyed identified as white?,Identified as white,Race & Equality,1,,keep_as_is,,,,False,,pending
mawork,mothers employment since marriage,1970s,yes,no,0.501,7920,1973,1993,18,,False,What % of Americans surveyed say their mothers worked for a year or more any time after getting married?,Mothers worked since marriage,Family,2,Unclear if question asks about ever working or currently working since marriage.,reframe,underspecified,Unclear if question asks about ever working or currently working.,What % of Americans surveyed say mothers have worked at any point since getting married?,False,,edited
mawork,mothers employment since marriage,1980s,yes,no,0.6172,12480,1973,1993,18,,False,What % of Americans surveyed say their mothers worked for a year or more any time after getting married?,Mothers worked since marriage,Family,2,Unclear if question asks about ever working or currently working since marriage.,reframe,underspecified,Unclear if question asks about ever working or currently working.,What % of Americans surveyed say mothers have worked at any point since getting married?,False,,edited
mawork,mothers employment since marriage,1990s,yes,no,0.6834,3912,1973,1993,18,,False,What % of Americans surveyed say their mothers worked for a year or more any time after getting married?,Mothers worked since marriage,Family,2,Unclear if question asks about ever working or currently working since marriage.,reframe,underspecified,Unclear if question asks about ever working or currently working.,What % of Americans surveyed say mothers have worked at any point since getting married?,False,,edited
mawkborn,mothers employment after r was born,1980s,yes,no,0.4601,2598,1987,1994,7,,True,What % of Americans surveyed said their mother worked for at least one year after they were born?,Mother worked after respondent's birth,Family,1,,reframe,conditional,Only asked to people who have mothers; unclear if universal question.,What % of Americans surveyed said their mother worked after they were born?,False,,edited
mawkborn,mothers employment after r was born,1990s,yes,no,0.4706,2885,1987,1994,7,,True,What % of Americans surveyed said their mother worked for at least one year after they were born?,Mother worked after respondent's birth,Family,1,,reframe,conditional,Only asked to people who have mothers; unclear if universal question.,What % of Americans surveyed said their mother worked after they were born?,False,,edited
mawk16,mothers employment when r growing up,1970s,yes,no,0.6691,3890,1973,1983,9,,False,What % of Americans surveyed had a mother who worked while they were growing up?,Had mother employed during childhood,Family,1,,keep_as_is,,,,False,,pending
mawk16,mothers employment when r growing up,1980s,yes,no,0.6885,2410,1973,1983,9,,False,What % of Americans surveyed had a mother who worked while they were growing up?,Had mother employed during childhood,Family,1,,keep_as_is,,,,False,,pending
mawrkgrw,did mother (or youngest same-sex parent) ever work for pay for as long as a year,1990s,yes,no,0.6259,8192,1994,2024,16,,False,What % of Americans surveyed said their mother ever worked for pay for a year or longer?,Mother ever worked for pay long-term,Family,1,,keep_as_is,,,,False,,pending
mawrkgrw,did mother (or youngest same-sex parent) ever work for pay for as long as a year,2000s,yes,no,0.6587,12531,1994,2024,16,,False,What % of Americans surveyed said their mother ever worked for pay for a year or longer?,Mother ever worked for pay long-term,Family,1,,keep_as_is,,,,False,,pending
mawrkgrw,did mother (or youngest same-sex parent) ever work for pay for as long as a year,2010s,yes,no,0.7297,11291,1994,2024,16,,False,What % of Americans surveyed said their mother ever worked for pay for a year or longer?,Mother ever worked for pay long-term,Family,1,,keep_as_is,,,,False,,pending
mawrkgrw,did mother (or youngest same-sex parent) ever work for pay for as long as a year,2020s,yes,no,0.7654,10167,1994,2024,16,,False,What % of Americans surveyed said their mother ever worked for pay for a year or longer?,Mother ever worked for pay long-term,Family,1,,keep_as_is,,,,False,,pending
born,was r born in this country,1970s,yes,no,0.9371,3058,1977,2024,30,-0.103,False,What % of Americans surveyed were born in the United States?,Born in the United States,Civil Liberties,1,,keep_as_is,,,,False,,pending
born,was r born in this country,1980s,yes,no,0.9355,14199,1977,2024,30,-0.103,False,What % of Americans surveyed were born in the United States?,Born in the United States,Civil Liberties,1,,keep_as_is,,,,False,,pending
born,was r born in this country,1990s,yes,no,0.9177,13140,1977,2024,30,-0.103,False,What % of Americans surveyed were born in the United States?,Born in the United States,Civil Liberties,1,,keep_as_is,,,,False,,pending
born,was r born in this country,2000s,yes,no,0.8773,13393,1977,2024,30,-0.103,False,What % of Americans surveyed were born in the United States?,Born in the United States,Civil Liberties,1,,keep_as_is,,,,False,,pending
born,was r born in this country,2010s,yes,no,0.8577,11761,1977,2024,30,-0.103,False,What % of Americans surveyed were born in the United States?,Born in the United States,Civil Liberties,1,,keep_as_is,,,,False,,pending
born,was r born in this country,2020s,yes,no,0.8341,10773,1977,2024,30,-0.103,False,What % of Americans surveyed were born in the United States?,Born in the United States,Civil Liberties,1,,keep_as_is,,,,False,,pending
parborn,were r's parents born in this country,1970s,both born in the u.s.,neither born in the u.s.,0.8618,2850,1977,2024,30,-0.0778,False,What % of Americans surveyed had both parents born in the United States?,Both parents born in U.S.,Family,1,,keep_as_is,,,,False,,pending
parborn,were r's parents born in this country,1980s,both born in the u.s.,neither born in the u.s.,0.8811,13360,1977,2024,30,-0.0778,False,What % of Americans surveyed had both parents born in the United States?,Both parents born in U.S.,Family,1,,keep_as_is,,,,False,,pending
parborn,were r's parents born in this country,1990s,both born in the u.s.,neither born in the u.s.,0.8812,12399,1977,2024,30,-0.0778,False,What % of Americans surveyed had both parents born in the United States?,Both parents born in U.S.,Family,1,,keep_as_is,,,,False,,pending
parborn,were r's parents born in this country,2000s,both born in the u.s.,neither born in the u.s.,0.8469,12624,1977,2024,30,-0.0778,False,What % of Americans surveyed had both parents born in the United States?,Both parents born in U.S.,Family,1,,keep_as_is,,,,False,,pending
parborn,were r's parents born in this country,2010s,both born in the u.s.,neither born in the u.s.,0.8087,11031,1977,2024,30,-0.0778,False,What % of Americans surveyed had both parents born in the United States?,Both parents born in U.S.,Family,1,,keep_as_is,,,,False,,pending
parborn,were r's parents born in this country,2020s,both born in the u.s.,neither born in the u.s.,0.784,9984,1977,2024,30,-0.0778,False,What % of Americans surveyed had both parents born in the United States?,Both parents born in U.S.,Family,1,,keep_as_is,,,,False,,pending
babies,household members less than 6 yrs old,1970s,0,1,0.8429,9814,1972,2024,35,0.0719,False,What % of Americans surveyed have no children under age 6 in their household?,Have no children under age 6,Family,1,,reframe,underspecified,Response options don't match question text about household composition.,What % of Americans surveyed have children under age 6 in their household?,False,,edited
babies,household members less than 6 yrs old,1980s,0,1,0.8552,13370,1972,2024,35,0.0719,False,What % of Americans surveyed have no children under age 6 in their household?,Have no children under age 6,Family,1,,reframe,underspecified,Response options don't match question text about household composition.,What % of Americans surveyed have children under age 6 in their household?,False,,edited
babies,household members less than 6 yrs old,1990s,0,1,0.8676,12535,1972,2024,35,0.0719,False,What % of Americans surveyed have no children under age 6 in their household?,Have no children under age 6,Family,1,,reframe,underspecified,Response options don't match question text about household composition.,What % of Americans surveyed have children under age 6 in their household?,False,,edited
babies,household members less than 6 yrs old,2000s,0,1,0.8912,14110,1972,2024,35,0.0719,False,What % of Americans surveyed have no children under age 6 in their household?,Have no children under age 6,Family,1,,reframe,underspecified,Response options don't match question text about household composition.,What % of Americans surveyed have children under age 6 in their household?,False,,edited
babies,household members less than 6 yrs old,2010s,0,1,0.9102,11278,1972,2024,35,0.0719,False,What % of Americans surveyed have no children under age 6 in their household?,Have no children under age 6,Family,1,,reframe,underspecified,Response options don't match question text about household composition.,What % of Americans surveyed have children under age 6 in their household?,False,,edited
babies,household members less than 6 yrs old,2020s,0,1,0.9148,7216,1972,2024,35,0.0719,False,What % of Americans surveyed have no children under age 6 in their household?,Have no children under age 6,Family,1,,reframe,underspecified,Response options don't match question text about household composition.,What % of Americans surveyed have children under age 6 in their household?,False,,edited
teens,household members 13 thru 17 yrs old,1970s,0,1,0.8216,9655,1972,2024,35,0.0869,False,What % of Americans surveyed have no teenage children ages 13-17 in their household?,Have no teenage children at home,Family,1,,keep_as_is,,,,False,,pending
teens,household members 13 thru 17 yrs old,1980s,0,1,0.8519,13473,1972,2024,35,0.0869,False,What % of Americans surveyed have no teenage children ages 13-17 in their household?,Have no teenage children at home,Family,1,,keep_as_is,,,,False,,pending
teens,household members 13 thru 17 yrs old,1990s,0,1,0.8749,12756,1972,2024,35,0.0869,False,What % of Americans surveyed have no teenage children ages 13-17 in their household?,Have no teenage children at home,Family,1,,keep_as_is,,,,False,,pending
teens,household members 13 thru 17 yrs old,2000s,0,1,0.8821,14249,1972,2024,35,0.0869,False,What % of Americans surveyed have no teenage children ages 13-17 in their household?,Have no teenage children at home,Family,1,,keep_as_is,,,,False,,pending
teens,household members 13 thru 17 yrs old,2010s,0,1,0.901,11326,1972,2024,35,0.0869,False,What % of Americans surveyed have no teenage children ages 13-17 in their household?,Have no teenage children at home,Family,1,,keep_as_is,,,,False,,pending
teens,household members 13 thru 17 yrs old,2020s,0,1,0.9085,7241,1972,2024,35,0.0869,False,What % of Americans surveyed have no teenage children ages 13-17 in their household?,Have no teenage children at home,Family,1,,keep_as_is,,,,False,,pending
unrelat,number in household not related,1970s,0,1,0.9619,9039,1972,2024,35,-0.0845,False,What % of Americans surveyed had no non-family members living in their household?,Have no unrelated people in household,Family,2,Clarify if 'unrelated' means non-family members or lodgers specifically.,reframe,underspecified,Unclear if 'unrelated' means non-family or lodgers/roommates specifically.,What % of Americans surveyed had no non-family members living in their household?,False,,edited
unrelat,number in household not related,1980s,0,1,0.9369,10817,1972,2024,35,-0.0845,False,What % of Americans surveyed had no non-family members living in their household?,Have no unrelated people in household,Family,2,Clarify if 'unrelated' means non-family members or lodgers specifically.,reframe,underspecified,Unclear if 'unrelated' means non-family or lodgers/roommates specifically.,What % of Americans surveyed had no non-family members living in their household?,False,,edited
unrelat,number in household not related,1990s,0,1,0.9125,8822,1972,2024,35,-0.0845,False,What % of Americans surveyed had no non-family members living in their household?,Have no unrelated people in household,Family,2,Clarify if 'unrelated' means non-family members or lodgers specifically.,reframe,underspecified,Unclear if 'unrelated' means non-family or lodgers/roommates specifically.,What % of Americans surveyed had no non-family members living in their household?,False,,edited
unrelat,number in household not related,2000s,0,1,0.9134,9831,1972,2024,35,-0.0845,False,What % of Americans surveyed had no non-family members living in their household?,Have no unrelated people in household,Family,2,Clarify if 'unrelated' means non-family members or lodgers specifically.,reframe,underspecified,Unclear if 'unrelated' means non-family or lodgers/roommates specifically.,What % of Americans surveyed had no non-family members living in their household?,False,,edited
unrelat,number in household not related,2010s,0,1,0.901,7418,1972,2024,35,-0.0845,False,What % of Americans surveyed had no non-family members living in their household?,Have no unrelated people in household,Family,2,Clarify if 'unrelated' means non-family members or lodgers specifically.,reframe,underspecified,Unclear if 'unrelated' means non-family or lodgers/roommates specifically.,What % of Americans surveyed had no non-family members living in their household?,False,,edited
unrelat,number in household not related,2020s,0,1,0.8774,6646,1972,2024,35,-0.0845,False,What % of Americans surveyed had no non-family members living in their household?,Have no unrelated people in household,Family,2,Clarify if 'unrelated' means non-family members or lodgers specifically.,reframe,underspecified,Unclear if 'unrelated' means non-family or lodgers/roommates specifically.,What % of Americans surveyed had no non-family members living in their household?,False,,edited
vote68,did r vote in 1968 election,1970s,voted,did not vote,0.7091,2805,1972,1973,2,,False,What % of Americans surveyed reported voting in the 1968 presidential election?,Voted in 1968 presidential election,Politics,1,,keep_as_is,,,,False,,pending
vote72,did r vote in 1972 election,1970s,voted,did not vote,0.7058,6928,1973,1977,5,,False,What % of Americans surveyed reported voting in the 1972 presidential election?,Voted in 1972 presidential election,Politics,1,,keep_as_is,,,,False,,pending
pres72,vote for mcgovern or nixon,1970s,nixon,mcgovern,0.6114,4588,1973,1977,5,,False,What % of Americans surveyed said they would vote for Nixon in the 1972 presidential election?,Would vote for Nixon in 1972,Politics,1,,keep_as_is,,,,False,,pending
vote76,did r vote in 1976 election,1970s,voted,did not vote,0.6804,2891,1977,1982,4,,False,What % of Americans surveyed reported voting in the 1976 presidential election?,Voted in 1976 presidential election,Politics,1,,keep_as_is,,,,False,,pending
vote76,did r vote in 1976 election,1980s,voted,did not vote,0.6845,2913,1977,1982,4,,False,What % of Americans surveyed reported voting in the 1976 presidential election?,Voted in 1976 presidential election,Politics,1,,keep_as_is,,,,False,,pending
pres76,vote for carter or ford,1970s,carter,ford,0.542,1878,1977,1982,4,,False,What % of Americans who voted in the 1976 election surveyed voted for Jimmy Carter?,Voted for Carter in 1976,Politics,1,,reframe,conditional,Only asked to people who voted; excludes non-voters and refused voters.,What % of Americans surveyed who voted chose Jimmy Carter in 1976?,False,,edited
pres76,vote for carter or ford,1980s,carter,ford,0.6152,1907,1977,1982,4,,False,What % of Americans who voted in the 1976 election surveyed voted for Jimmy Carter?,Voted for Carter in 1976,Politics,1,,reframe,conditional,Only asked to people who voted; excludes non-voters and refused voters.,What % of Americans surveyed who voted chose Jimmy Carter in 1976?,False,,edited
if76who,who would r have voted for-1976 election,1970s,carter,ford,0.6459,894,1977,1982,4,,False,What % of Americans who did not vote in 1976 surveyed said they would have voted for Carter in 1976?,Would have voted for Carter in 1976,Politics,1,,reframe,conditional,Question only asked to 1976 voters; doesn't specify this constraint.,What % of Americans surveyed said they would have voted for Carter in the 1976 presidential election?,False,,edited
if76who,who would r have voted for-1976 election,1980s,carter,ford,0.5767,1009,1977,1982,4,,False,What % of Americans who did not vote in 1976 surveyed said they would have voted for Carter in 1976?,Would have voted for Carter in 1976,Politics,1,,reframe,conditional,Question only asked to 1976 voters; doesn't specify this constraint.,What % of Americans surveyed said they would have voted for Carter in the 1976 presidential election?,False,,edited
vote80,did r vote in 1980 election,1980s,voted,did not vote,0.7138,7494,1982,1987,5,,False,What % of Americans surveyed reported voting in the 1980 presidential election?,Voted in 1980 presidential election,Politics,1,,keep_as_is,,,,False,,pending
pres80,"vote for carter, reagan or anderson",1980s,carter,reagan,0.5356,4853,1982,1987,5,,False,What % of Americans who voted in 1980 surveyed voted for Jimmy Carter in the 1980 presidential election?,Voted for Carter in 1980,Politics,1,,reframe,underspecified,"Question asks about Carter votes but response options include Reagan, Anderson, other, refused, didn't vote — unclear what statistic actually measures.",What % of Americans surveyed chose Jimmy Carter in the 1980 presidential election?,False,,edited
vote84,did r vote in 1984 election,1980s,voted,did not vote,0.7052,7213,1985,1989,5,,False,What % of Americans surveyed reported voting in the 1984 presidential election?,Voted in 1984 presidential election,Politics,1,,keep_as_is,,,,False,,pending
pres84,vote for reagan or mondale,1980s,reagan,mondale,0.6072,4872,1985,1989,5,,False,What % of Americans surveyed voted for Reagan in the 1984 presidential election?,Voted for Reagan in 1984,Politics,1,,keep_as_is,,,,False,,pending
if84who,who would r have voted for-1984 election,1980s,reagan,mondale,0.6213,1984,1985,1989,5,,False,What % of Americans surveyed said they would have voted for Reagan in 1984?,Would have voted for Reagan in 1984,Politics,1,,keep_as_is,,,,False,,pending
vote88,did r vote in 1988 election,1980s,voted,did not vote,0.6579,1476,1989,1993,4,,False,What % of Americans surveyed reported voting in the 1988 presidential election?,Voted in 1988 presidential election,Politics,1,,keep_as_is,,,,False,,pending
vote88,did r vote in 1988 election,1990s,voted,did not vote,0.6928,4152,1989,1993,4,,False,What % of Americans surveyed reported voting in the 1988 presidential election?,Voted in 1988 presidential election,Politics,1,,keep_as_is,,,,False,,pending
pres88,vote for dukakis or bush,1980s,bush,dukakis,0.5464,936,1989,1993,4,,False,What % of Americans surveyed voted for George H.W. Bush in 1988?,Voted for Bush in 1988 presidential election,Politics,1,,keep_as_is,,,,False,,pending
pres88,vote for dukakis or bush,1990s,bush,dukakis,0.6471,2747,1989,1993,4,,False,What % of Americans surveyed voted for George H.W. Bush in 1988?,Voted for Bush in 1988 presidential election,Politics,1,,keep_as_is,,,,False,,pending
if88who,who would r have voted for-1988 election,1980s,bush,dukakis,0.6558,405,1989,1993,4,,False,What % of Americans surveyed said they would have voted for Bush in the 1988 election?,"Would have voted for Bush, 1988",Politics,1,,keep_as_is,,,,False,,pending
if88who,who would r have voted for-1988 election,1990s,bush,dukakis,0.7425,1109,1989,1993,4,,False,What % of Americans surveyed said they would have voted for Bush in the 1988 election?,"Would have voted for Bush, 1988",Politics,1,,keep_as_is,,,,False,,pending
