"variable","decade","years_asked"
"spsector","2010s","2012, 2014, 2016"
"speftotlt","2010s","2012, 2014, 2016"
"spbarate","2010s","2012, 2014, 2016"
"spgradtounder","2010s","2012, 2014, 2016"
"sex","1970s","1972, 1973, 1974, 1975, 1976, 1977, 1978"
"sex","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"sex","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"sex","2000s","2000, 2002, 2004, 2006, 2008"
"sex","2010s","2010, 2012, 2014, 2016, 2018"
"sex","2020s","2021, 2022, 2024"
"race","1970s","1972, 1973, 1974, 1975, 1976, 1977, 1978"
"race","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"race","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"race","2000s","2000, 2002, 2004, 2006, 2008"
"race","2010s","2010, 2012, 2014, 2016, 2018"
"race","2020s","2021, 2022, 2024"
"res16","1970s","1972, 1973, 1974, 1975, 1976, 1977, 1978"
"res16","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"res16","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"res16","2000s","2000, 2002, 2004, 2006, 2008"
"res16","2010s","2010, 2012, 2014, 2016, 2018"
"res16","2020s","2021, 2022, 2024"
"reg16","1970s","1972, 1973, 1974, 1975, 1976, 1977, 1978"
"reg16","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"reg16","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"reg16","2000s","2000, 2002, 2004, 2006, 2008"
"reg16","2010s","2010, 2012, 2014, 2016, 2018"
"reg16","2020s","2021, 2022, 2024"
"mobile16","1970s","1972, 1973, 1974, 1975, 1976, 1977, 1978"
"mobile16","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"mobile16","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"mobile16","2000s","2000, 2002, 2004, 2006, 2008"
"mobile16","2010s","2010, 2012, 2014, 2016, 2018"
"mobile16","2020s","2021, 2022, 2024"
"family16","1970s","1972, 1973, 1974, 1975, 1976, 1977, 1978"
"family16","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"family16","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"family16","2000s","2000, 2002, 2004, 2006, 2008"
"family16","2010s","2010, 2012, 2014, 2016, 2018"
"family16","2020s","2021, 2022, 2024"
"famdif16","1970s","1973, 1974, 1975, 1976, 1977, 1978"
"famdif16","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"famdif16","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"famdif16","2000s","2000, 2002, 2004, 2006, 2008"
"famdif16","2010s","2010, 2012, 2014, 2016, 2018"
"famdif16","2020s","2021, 2022, 2024"
"mawork","1970s","1973, 1974, 1975, 1976, 1977, 1978"
"mawork","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"mawork","1990s","1990, 1991, 1993"
"mawkbaby","1970s","1973, 1974, 1975, 1976, 1977, 1978"
"mawkbaby","1980s","1980, 1982, 1983"
"mawkborn","1980s","1987, 1988, 1989"
"mawkborn","1990s","1990, 1991, 1993, 1994"
"mawk16","1970s","1973, 1974, 1975, 1976, 1977, 1978"
"mawk16","1980s","1980, 1982, 1983"
"mawrkgrw","1990s","1994, 1996, 1998"
"mawrkgrw","2000s","2000, 2002, 2004, 2006, 2008"
"mawrkgrw","2010s","2010, 2012, 2014, 2016, 2018"
"mawrkgrw","2020s","2021, 2022, 2024"
"incom16","1970s","1972, 1973, 1974, 1975, 1976, 1977, 1978"
"incom16","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"incom16","1990s","1990, 1991, 1993, 1994"
"incom16","2000s","2002, 2004, 2006, 2008"
"incom16","2010s","2010, 2012, 2014, 2016, 2018"
"incom16","2020s","2021, 2022, 2024"
"born","1970s","1977, 1978"
"born","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"born","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"born","2000s","2000, 2002, 2004, 2006, 2008"
"born","2010s","2010, 2012, 2014, 2016, 2018"
"born","2020s","2021, 2022, 2024"
"parborn","1970s","1977, 1978"
"parborn","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"parborn","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"parborn","2000s","2000, 2002, 2004, 2006, 2008"
"parborn","2010s","2010, 2012, 2014, 2016, 2018"
"parborn","2020s","2021, 2022, 2024"
"granborn","1970s","1977, 1978"
"granborn","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"granborn","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"granborn","2000s","2000, 2002, 2004, 2006, 2008"
"granborn","2010s","2010, 2012, 2014, 2016, 2018"
"granborn","2020s","2021, 2022, 2024"
"babies","1970s","1972, 1973, 1974, 1975, 1976, 1977, 1978"
"babies","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"babies","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"babies","2000s","2000, 2002, 2004, 2006, 2008"
"babies","2010s","2010, 2012, 2014, 2016, 2018"
"babies","2020s","2021, 2022, 2024"
"preteen","1970s","1972, 1973, 1974, 1975, 1976, 1977, 1978"
"preteen","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"preteen","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"preteen","2000s","2000, 2002, 2004, 2006, 2008"
"preteen","2010s","2010, 2012, 2014, 2016, 2018"
"preteen","2020s","2021, 2022, 2024"
"teens","1970s","1972, 1973, 1974, 1975, 1976, 1977, 1978"
"teens","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"teens","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"teens","2000s","2000, 2002, 2004, 2006, 2008"
"teens","2010s","2010, 2012, 2014, 2016, 2018"
"teens","2020s","2021, 2022, 2024"
"adults","1970s","1972, 1973, 1974, 1975, 1976, 1977, 1978"
"adults","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"adults","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"adults","2000s","2000, 2002, 2004, 2006, 2008"
"adults","2010s","2010, 2012, 2014, 2016, 2018"
"adults","2020s","2022, 2024"
"unrelat","1970s","1972, 1973, 1974, 1975, 1976, 1977, 1978"
"unrelat","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"unrelat","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"unrelat","2000s","2000, 2002, 2004, 2006, 2008"
"unrelat","2010s","2010, 2012, 2014, 2016, 2018"
"unrelat","2020s","2021, 2022, 2024"
"earnrs","1970s","1972, 1973, 1974, 1975, 1976, 1977, 1978"
"earnrs","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"earnrs","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"earnrs","2000s","2000, 2002, 2004, 2006, 2008"
"earnrs","2010s","2010, 2012, 2014, 2016, 2018"
"earnrs","2020s","2021, 2022, 2024"
"region","1970s","1972, 1973, 1974, 1975, 1976, 1977, 1978"
"region","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"region","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"region","2000s","2000, 2002, 2004, 2006, 2008"
"region","2010s","2010, 2012, 2014, 2016, 2018"
"region","2020s","2021, 2022, 2024"
"xnorcsiz","1970s","1972, 1973, 1974, 1975, 1976, 1977, 1978"
"xnorcsiz","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"xnorcsiz","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"xnorcsiz","2000s","2000, 2002, 2004, 2006, 2008"
"xnorcsiz","2010s","2010, 2012, 2014, 2016, 2018"
"xnorcsiz","2020s","2021, 2022, 2024"
"srcbelt","1970s","1972, 1973, 1974, 1975, 1976, 1977, 1978"
"srcbelt","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"srcbelt","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"srcbelt","2000s","2000, 2002, 2004, 2006, 2008"
"srcbelt","2010s","2010, 2012, 2014, 2016, 2018"
"srcbelt","2020s","2021, 2022"
"partyid","1970s","1972, 1973, 1974, 1975, 1976, 1977, 1978"
"partyid","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"partyid","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"partyid","2000s","2000, 2002, 2004, 2006, 2008"
"partyid","2010s","2010, 2012, 2014, 2016, 2018"
"partyid","2020s","2021, 2022, 2024"
"vote68","1970s","1972, 1973"
"pres68","1970s","1972, 1973"
"if68who","1970s","1972, 1973"
"vote72","1970s","1973, 1974, 1975, 1976, 1977"
"pres72","1970s","1973, 1974, 1975, 1976, 1977"
"if72who","1970s","1973, 1974, 1975, 1976, 1977"
"vote76","1970s","1977, 1978"
"vote76","1980s","1980, 1982"
"pres76","1970s","1977, 1978"
"pres76","1980s","1980, 1982"
"if76who","1970s","1977, 1978"
"if76who","1980s","1980, 1982"
"vote80","1980s","1982, 1983, 1984, 1985, 1987"
"pres80","1980s","1982, 1983, 1984, 1985, 1987"
"if80who","1980s","1982, 1983, 1984, 1985, 1987"
"vote84","1980s","1985, 1986, 1987, 1988, 1989"
"pres84","1980s","1985, 1986, 1987, 1988, 1989"
"if84who","1980s","1985, 1986, 1987, 1988, 1989"
"vote88","1980s","1989"
"vote88","1990s","1990, 1991, 1993"
"pres88","1980s","1989"
"pres88","1990s","1990, 1991, 1993"
"if88who","1980s","1989"
"if88who","1990s","1990, 1991, 1993"
"vote92","1990s","1993, 1994, 1996, 1998"
"pres92","1990s","1993, 1994, 1996, 1998"
"if92who","1990s","1993, 1994, 1996, 1998"
"vote96","1990s","1998"
"vote96","2000s","2000, 2002"
"pres96","1990s","1998"
"pres96","2000s","2000, 2002"
"if96who","1990s","1998"
"if96who","2000s","2000, 2002"
"vote00","2000s","2002, 2004, 2006"
"pres00","2000s","2002, 2004, 2006"
"if00who","2000s","2002, 2004, 2006"
"vote04","2000s","2006, 2008"
"vote04","2010s","2010"
"pres04","2000s","2006, 2008"
"pres04","2010s","2010"
"if04who","2000s","2006, 2008"
"if04who","2010s","2010"
"vote08","2010s","2010, 2012, 2014"
"pres08","2010s","2010, 2012, 2014"
"if08who","2010s","2010, 2012, 2014"
"vote12","2010s","2014, 2016, 2018"
"pres12","2010s","2014, 2016, 2018"
"if12who","2010s","2014, 2016, 2018"
"vote16","2010s","2018"
"vote16","2020s","2021, 2022, 2024"
"pres16","2010s","2018"
"pres16","2020s","2021, 2022, 2024"
"if16who","2010s","2018"
"if16who","2020s","2021, 2022, 2024"
"polviews","1970s","1974, 1975, 1976, 1977, 1978"
"polviews","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"polviews","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"polviews","2000s","2000, 2002, 2004, 2006, 2008"
"polviews","2010s","2010, 2012, 2014, 2016, 2018"
"polviews","2020s","2021, 2022, 2024"
"polviewy","1970s","1978"
"polviewx","1980s","1983"
"natspac","1970s","1973, 1974, 1975, 1976, 1977, 1978"
"natspac","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"natspac","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"natspac","2000s","2000, 2002, 2004, 2006, 2008"
"natspac","2010s","2010, 2012, 2014, 2016, 2018"
"natspac","2020s","2021, 2022, 2024"
"natenvir","1970s","1973, 1974, 1975, 1976, 1977, 1978"
"natenvir","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"natenvir","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"natenvir","2000s","2000, 2002, 2004, 2006, 2008"
"natenvir","2010s","2010, 2012, 2014, 2016, 2018"
"natenvir","2020s","2021, 2022, 2024"
"natheal","1970s","1973, 1974, 1975, 1976, 1977, 1978"
"natheal","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"natheal","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"natheal","2000s","2000, 2002, 2004, 2006, 2008"
"natheal","2010s","2010, 2012, 2014, 2016, 2018"
"natheal","2020s","2021, 2022, 2024"
"natcity","1970s","1973, 1974, 1975, 1976, 1977, 1978"
"natcity","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"natcity","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"natcity","2000s","2000, 2002, 2004, 2006, 2008"
"natcity","2010s","2010, 2012, 2014, 2016, 2018"
"natcity","2020s","2021, 2022, 2024"
"natcrime","1970s","1973, 1974, 1975, 1976, 1977, 1978"
"natcrime","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"natcrime","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"natcrime","2000s","2000, 2002, 2004, 2006, 2008"
"natcrime","2010s","2010, 2012, 2014, 2016, 2018"
"natcrime","2020s","2021, 2022, 2024"
"natdrug","1970s","1973, 1974, 1975, 1976, 1977, 1978"
"natdrug","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"natdrug","1990s","1990, 1991, 1993, 1994, 1996, 1998"
